,SHIP_ID,SHIPTYPE,SPEED,LON,LAT,COURSE,TIMESTAMP,DEPARTURE_PORT_NAME,ARRIVAL_CALC,ARRIVAL_PORT_CALC
0,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.56034,35.8109,109,0,765,58.0,605
1,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.1,14.565370000000001,35.81219,47,2.0,765,56.0,605
2,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.0,14.56962,35.81499,49,4.0,765,54.0,605
3,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.0,14.57422,35.817190000000004,72,6.0,765,52.0,605
4,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.579670000000002,35.81815,78,8.0,765,50.0,605
5,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.589070000000001,35.82315,42,12.0,765,46.0,605
6,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.5,14.593760000000001,35.82785,41,15.0,765,43.0,605
7,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.5,14.59715,35.83116,46,17.0,765,41.0,605
8,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.0,14.60015,35.83465,20,19.0,765,39.0,605
9,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.3,14.60176,35.83855,14,21.0,765,37.0,605
10,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.8,14.60315,35.8424,20,23.0,765,35.0,605
11,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.4,14.60464,35.84646,23,25.0,765,33.0,605
12,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.3,14.60612,35.85046,12,27.0,765,31.0,605
13,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.3,14.607579999999999,35.854279999999996,13,29.0,765,29.0,605
14,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.4,14.604870000000002,35.85796,317,31.0,765,27.0,605
15,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.4,14.601270000000001,35.8614,315,33.0,765,25.0,605
16,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.59772,35.86484,316,35.0,765,23.0,605
17,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.59418,35.86821,316,37.0,765,21.0,605
18,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.5,14.589770000000001,35.87069,299,39.0,765,19.0,605
19,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.7,14.58588,35.87357,327,41.0,765,17.0,605
20,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.3,14.58249,35.87682,326,43.0,765,15.0,605
21,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.7,14.5792,35.88019,324,45.0,765,13.0,605
22,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.9,14.575879999999998,35.88363,329,47.0,765,11.0,605
23,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.572579999999999,35.88704,316,49.0,765,9.0,605
24,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.7,14.569289999999999,35.89049,322,51.0,765,7.0,605
25,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.7,14.565339999999999,35.8946,314,53.0,765,5.0,605
26,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.9,14.55826,35.89778,276,56.0,765,2.0,605
27,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.1,14.55285,35.89915,281,58.0,765,0.0,605
28,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.547379999999999,35.900529999999996,287,60.0,765,1438.0,605
29,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.3,14.541670000000002,35.90104,268,62.0,765,1436.0,605
30,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.0,14.53599,35.90118,277,64.0,765,1434.0,605
31,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.4,14.53026,35.90132,267,66.0,765,1432.0,605
32,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.5,14.519420000000002,35.89713,218,71.0,765,1427.0,605
33,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.0,14.51394,35.895109999999995,348,79.0,765,1419.0,605
34,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.0,14.513929999999998,35.89505,6,1163.0,765,335.0,605
35,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,5.8,14.514529999999999,35.895109999999995,44,1166.0,765,332.0,605
36,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.0,14.51687,35.89665,7,1171.0,765,327.0,605
37,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.0,14.516860000000001,35.89666,98,1193.0,765,305.0,605
38,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.0,14.516860000000001,35.89666,98,1193.0,765,305.0,605
39,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.5,14.516829999999999,35.89665,212,1196.0,765,302.0,605
40,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,4.0,14.51729,35.896229999999996,218,1198.0,765,300.0,605
41,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.4,14.51399,35.89496,296,1201.0,765,297.0,605
42,0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.0,14.51396,35.89506,0,1225.0,765,273.0,605
43,0x6cafd52f3e1a09950e6e889daabf81bafbe7a40a,36,5.0,-5.316057,35.90345,348,0,370,97.0,664
44,0x6cafd52f3e1a09950e6e889daabf81bafbe7a40a,36,6.5,-5.316607,35.90769,351,3.0,370,94.0,664
45,0x6cafd52f3e1a09950e6e889daabf81bafbe7a40a,36,6.0,-5.317723,35.9135,20,7.0,370,90.0,664
46,0x6cafd52f3e1a09950e6e889daabf81bafbe7a40a,36,6.3,-5.319388,35.917840000000005,338,10.0,370,87.0,664
